iter	F1	Logloss
158	0.8595269283	0.3065214797
159	0.8595187556	0.3063842611
160	0.8595596203	0.3062684491
161	0.8594102266	0.3059951277
162	0.859557506	0.3058401104
163	0.8596638327	0.3056157212
164	0.8597987825	0.305467232
165	0.8597865069	0.3053943264
166	0.8598028607	0.3052608088
167	0.8597414644	0.3050900759
168	0.8598355701	0.3048320423
169	0.8599582491	0.3046787919
170	0.859984829	0.3044650224
171	0.8601749152	0.3042751332
172	0.8602096653	0.3040971283
173	0.8603139168	0.3039905784
174	0.8604304791	0.3038239185
175	0.8604305534	0.3037259238
176	0.8604550255	0.3035159483
177	0.8604427902	0.3033998388
178	0.8604572082	0.3032585099
179	0.8604797367	0.3031310182
180	0.860651555	0.3029996952
181	0.8608394978	0.3027944066
182	0.8608356069	0.3026254591
183	0.8607926489	0.3024694189
184	0.8608683642	0.3023092127
185	0.8609950834	0.302192043
186	0.8612216969	0.3020280613
187	0.8612626483	0.3019615164
188	0.8612442688	0.3018677435
189	0.8616611572	0.3016608554
190	0.8616507221	0.3015136494
191	0.8616916867	0.3013590599
192	0.8618307111	0.3012459075
193	0.8618126255	0.3011081867
194	0.8618290177	0.301055479
195	0.8619660978	0.300952909
196	0.8618784896	0.3008680633
197	0.8619234339	0.300808809
198	0.8621281194	0.3006831585
199	0.8625036155	0.3005656355
200	0.8625625933	0.3003615371
201	0.8625930523	0.3002643607
202	0.8625993035	0.3000659721
203	0.8626075056	0.2999217418
204	0.8625750945	0.2998575961
205	0.8627450187	0.2997418214
206	0.8628285857	0.2996272369
207	0.8627715795	0.2994540304
208	0.8629207911	0.2993705796
209	0.8629922602	0.2992323566
210	0.8630661296	0.2991359427
211	0.8630332972	0.2990104968
212	0.8630352328	0.2989093962
213	0.8629700333	0.2988394664
214	0.8631047643	0.298753635
215	0.8630782064	0.2987163639
216	0.8631091067	0.2986301233
217	0.8633954752	0.2985057561
218	0.8633973982	0.2983242733
219	0.8633911098	0.2981462313
220	0.8633505683	0.2980548948
221	0.8635195139	0.2979369254
222	0.8635542783	0.2977786534
223	0.8634866691	0.2977295165
224	0.8638071767	0.2975520696
225	0.8639297893	0.2974662196
226	0.8641016941	0.2973450699
227	0.8642552876	0.2971471648
228	0.8643469235	0.2969152434
229	0.8642881613	0.2967711433
230	0.8643248178	0.2967226574
231	0.8642736159	0.2966748968
232	0.8642312788	0.2965805846
233	0.864276811	0.2963475472
234	0.8643646903	0.2962447541
235	0.864504984	0.2961402313
236	0.864503786	0.2960114377
237	0.8646055281	0.2959756545
238	0.8645714533	0.295813886
239	0.8647176252	0.2956941312
240	0.8647519798	0.2955094495
241	0.8649263301	0.2954059496
242	0.8650418797	0.2952941363
243	0.8651451354	0.2951389889
244	0.8650766578	0.2950034626
245	0.8650328861	0.2949330493
246	0.8650841132	0.2948685874
247	0.8652800117	0.294754784
248	0.8653779503	0.2945716088
249	0.8654538714	0.2945049337
250	0.8654557218	0.2944076085
251	0.8655234167	0.2942704085
252	0.8658227031	0.2941940064
253	0.8657943307	0.2940341908
254	0.8658693192	0.2938222997
255	0.8659425386	0.2937634917
256	0.8659571764	0.293715043
257	0.8660706498	0.2935909362
258	0.8660917011	0.2934793088
259	0.8661905501	0.2934174135
260	0.8661127565	0.2933137091
261	0.8662536905	0.2932747455
262	0.8663753536	0.2931692929
263	0.8665281206	0.2931199886
264	0.8665656965	0.2929523431
265	0.8665721261	0.2928491594
266	0.8666251938	0.2927854972
267	0.8667284994	0.2926026196
268	0.8667769225	0.2925199127
269	0.8666625746	0.2923520439
